"xref_state_id","code"
14,51700
14,51990
14,52000
14,52100
14,52200
14,53000
10,53100
14,53200
14,53300
14,53700
14,53800
14,53990
14,54000
14,54100
14,54200
14,55000
10,55100
14,55200
14,55300
14,55700
14,55710
14,55720
14,55900
14,55902
14,55904
14,55906
14,55908
14,55910
14,55912
14,55914
14,55916
14,55918
14,55920
14,55922
14,55924
14,55926
14,55928
14,55930
14,55932
14,55934
14,55990
10,56000
10,56100
14,57000
14,57100
14,57700
14,57990
14,58000
14,58100
14,58200
14,58700
14,58990
14,59000
14,59100
14,59200
14,59700
14,59800
14,59990
14,60000
16,62000
16,62007
16,62050
16,62100
16,62150
16,62200
16,62250
16,62300
16,62502
16,62503
16,62504
16,62505
16,62506
16,62510
16,62512
16,62514
16,62516
16,62518
16,62519
16,62520
16,62524
16,62526
16,62527
16,62530
16,62532
16,62536
16,62540
16,62542
16,62546
16,62550
16,62551
16,62570
16,62574
16,62576
16,62582
16,62584
16,62590
16,62592
16,62594
16,62596
16,62602
16,62604
16,62605
16,62606
16,62616
16,62620
16,62623
16,62624
16,62628
16,62630
16,62632
16,62648
16,62652
16,62654
16,62662
16,62668
16,62674
